ID,Name,StudyHours,Attendance,Marks,Grade,Result,PerformanceScore
532,Student_532,10.0,55,68.3,C,Pass,52.65
533,Student_533,10.0,67,89.3,B,Pass,66.75
848,Student_848,10.0,62,99.6,A,Pass,70.39999999999999
447,Student_447,9.9,95,72.7,C,Pass,66.83
662,Student_662,9.9,63,97.0,A,Pass,69.38000000000001
391,Student_391,9.9,57,55.0,D,Pass,46.57999999999999
442,Student_442,9.9,100,91.0,A,Pass,77.48
70,Student_70,9.9,98,78.5,B,Pass,70.63000000000001
155,Student_155,9.9,52,68.6,C,Pass,51.88
476,Student_476,9.9,99,89.3,B,Pass,76.33
500,Student_500,9.9,96,51.1,D,Pass,56.32999999999999
706,Student_706,9.9,57,65.3,C,Pass,51.73
262,Student_262,9.9,80,84.0,B,Pass,67.98
519,Student_519,9.9,74,40.8,D,Pass,44.57999999999999
811,Student_811,9.9,51,67.5,C,Pass,51.03
933,Student_933,9.9,83,69.3,C,Pass,61.53
306,Student_306,9.8,76,63.5,C,Pass,56.51
227,Student_227,9.8,89,53.5,D,Pass,55.41
676,Student_676,9.8,100,68.9,C,Pass,66.41
582,Student_582,9.8,89,46.7,D,Pass,52.01
499,Student_499,9.8,69,52.1,D,Pass,48.71
35,Student_35,9.7,63,89.6,B,Pass,65.64
718,Student_718,9.7,59,55.5,D,Pass,47.39
248,Student_248,9.7,87,86.6,B,Pass,71.33999999999999
249,Student_249,9.7,56,79.4,B,Pass,58.44
679,Student_679,9.7,91,56.8,D,Pass,57.64
470,Student_470,9.7,88,67.8,C,Pass,62.24
465,Student_465,9.7,79,67.1,C,Pass,59.19
367,Student_367,9.7,69,90.5,A,Pass,67.89
51,Student_51,9.7,91,69.8,C,Pass,64.14
12,Student_12,9.7,65,50.5,D,Pass,46.69
141,Student_141,9.7,56,70.3,C,Pass,53.89
140,Student_140,9.7,74,40.7,D,Pass,44.49
523,Student_523,9.7,95,70.3,C,Pass,65.59
314,Student_314,9.7,75,75.3,B,Pass,62.09
479,Student_479,9.7,91,97.9,A,Pass,78.19
472,Student_472,9.7,87,72.3,C,Pass,64.19
844,Student_844,9.6,100,66.6,C,Pass,65.22
412,Student_412,9.6,85,65.1,C,Pass,59.97
413,Student_413,9.6,58,55.6,D,Pass,47.120000000000005
2,Student_2,9.6,61,60.0,C,Pass,50.22
999,Student_999,9.6,52,40.2,D,Pass,37.620000000000005
325,Student_325,9.6,78,89.5,B,Pass,70.07000000000001
242,Student_242,9.6,92,95.1,A,Pass,77.07
541,Student_541,9.6,59,89.6,B,Pass,64.42
489,Student_489,9.6,88,72.0,C,Pass,64.32
53,Student_53,9.5,66,91.1,A,Pass,67.25
365,Student_365,9.5,65,65.8,C,Pass,54.3
359,Student_359,9.5,66,89.9,B,Pass,66.65
509,Student_509,9.5,52,70.3,C,Pass,52.65
446,Student_446,9.5,61,79.1,B,Pass,59.74999999999999
241,Student_241,9.5,62,90.8,A,Pass,65.9
34,Student_34,9.5,56,47.7,D,Pass,42.55
790,Student_790,9.5,98,64.6,C,Pass,63.6
752,Student_752,9.5,97,74.6,C,Pass,68.3
536,Student_536,9.5,86,70.3,C,Pass,62.85
576,Student_576,9.5,100,87.3,B,Pass,75.55000000000001
135,Student_135,9.5,95,55.6,D,Pass,58.2
918,Student_918,9.5,85,80.6,B,Pass,67.7
870,Student_870,9.5,53,96.6,A,Pass,66.1
807,Student_807,9.4,70,63.3,C,Pass,54.53
513,Student_513,9.4,60,80.1,B,Pass,59.93
257,Student_257,9.4,59,83.6,B,Pass,61.38
396,Student_396,9.4,56,43.9,D,Pass,40.63
246,Student_246,9.4,85,90.5,A,Pass,72.63
685,Student_685,9.4,74,42.2,D,Pass,45.18
972,Student_972,9.4,94,70.3,C,Pass,65.22999999999999
113,Student_113,9.4,63,43.7,D,Pass,42.63
716,Student_716,9.4,75,78.2,B,Pass,63.48
721,Student_721,9.4,67,81.2,B,Pass,62.580000000000005
179,Student_179,9.4,58,84.2,B,Pass,61.38
797,Student_797,9.4,60,67.2,C,Pass,53.48
997,Student_997,9.3,57,43.8,D,Pass,40.86
616,Student_616,9.3,86,57.8,D,Pass,56.56
578,Student_578,9.3,61,55.6,D,Pass,47.96
56,Student_56,9.3,73,47.0,D,Pass,47.26
183,Student_183,9.3,83,45.1,D,Pass,49.31
808,Student_808,9.3,75,49.6,D,Pass,49.16
800,Student_800,9.3,95,69.1,C,Pass,64.91
826,Student_826,9.3,92,72.5,C,Pass,65.71
814,Student_814,9.3,78,47.0,D,Pass,48.76
44,Student_44,9.2,78,73.2,C,Pass,61.84
938,Student_938,9.2,97,60.9,C,Pass,61.39
105,Student_105,9.2,88,81.7,B,Pass,69.09
837,Student_837,9.2,92,60.5,C,Pass,59.69
786,Student_786,9.2,68,78.7,B,Pass,61.59
454,Student_454,9.2,82,52.1,D,Pass,52.49
507,Student_507,9.2,71,92.9,A,Pass,69.59
274,Student_274,9.2,95,40.6,D,Pass,50.64
749,Student_749,9.2,82,65.3,C,Pass,59.09
151,Student_151,9.2,83,69.3,C,Pass,61.39
243,Student_243,9.2,94,55.1,D,Pass,57.59
954,Student_954,9.2,70,53.9,D,Pass,49.790000000000006
54,Student_54,9.1,63,52.5,D,Pass,46.97
898,Student_898,9.1,71,43.7,D,Pass,44.970000000000006
486,Student_486,9.1,58,87.9,B,Pass,63.17
122,Student_122,9.1,95,47.8,D,Pass,54.22
368,Student_368,9.1,55,51.2,D,Pass,43.92
948,Student_948,9.1,63,87.7,B,Pass,64.57
402,Student_402,9.1,69,71.9,C,Pass,58.470000000000006
569,Student_569,9.1,51,52.8,D,Pass,43.52
595,Student_595,9.1,63,91.5,A,Pass,66.47
854,Student_854,9.1,97,63.7,C,Pass,62.77
198,Student_198,9.1,74,70.3,C,Pass,59.17
204,Student_204,9.1,87,57.7,D,Pass,56.77
672,Student_672,9.1,86,48.4,D,Pass,51.82
632,Student_632,9.1,78,70.3,C,Pass,60.37
746,Student_746,9.1,99,72.0,C,Pass,67.52
192,Student_192,9.1,83,61.0,C,Pass,57.22
193,Student_193,9.1,61,86.5,B,Pass,63.37
923,Student_923,9.1,68,70.3,C,Pass,57.37
409,Student_409,9.1,66,73.6,C,Pass,58.42
406,Student_406,9.1,79,41.3,D,Pass,46.17
646,Student_646,9.0,92,59.0,D,Pass,58.89999999999999
199,Student_199,9.0,54,85.9,B,Pass,60.95
119,Student_119,9.0,74,77.4,B,Pass,62.7
906,Student_906,9.0,91,70.3,C,Pass,64.25
229,Student_229,9.0,62,65.9,C,Pass,53.35
89,Student_89,9.0,67,65.9,C,Pass,54.85
428,Student_428,9.0,95,70.3,C,Pass,65.45
759,Student_759,9.0,53,90.7,A,Pass,63.05
490,Student_490,9.0,80,49.5,D,Pass,50.55
474,Student_474,9.0,75,46.3,D,Pass,47.45
281,Student_281,9.0,83,52.2,D,Pass,52.8
184,Student_184,8.9,60,83.0,B,Pass,61.28
949,Student_949,8.9,62,82.4,B,Pass,61.58
768,Student_768,8.9,67,89.3,B,Pass,66.53
384,Student_384,8.9,65,97.4,A,Pass,69.98
265,Student_265,8.9,51,70.5,C,Pass,52.33
555,Student_555,8.9,86,47.6,D,Pass,51.38
736,Student_736,8.9,68,75.6,B,Pass,59.98
615,Student_615,8.9,84,75.9,B,Pass,64.93
530,Student_530,8.8,93,82.6,B,Pass,70.96
869,Student_869,8.8,62,92.6,A,Pass,66.66
680,Student_680,8.8,69,52.4,D,Pass,48.66
81,Student_81,8.8,93,48.8,D,Pass,54.06
514,Student_514,8.8,67,78.1,B,Pass,60.90999999999999
116,Student_116,8.8,53,88.8,B,Pass,62.06
8,Student_8,8.8,70,67.9,C,Pass,56.71
796,Student_796,8.8,75,99.3,A,Pass,73.91000000000001
468,Student_468,8.8,75,41.6,D,Pass,45.06
921,Student_921,8.8,74,40.9,D,Pass,44.41
815,Student_815,8.8,75,97.4,A,Pass,72.96000000000001
575,Student_575,8.8,91,86.0,B,Pass,72.06
273,Student_273,8.8,62,67.7,C,Pass,54.21
253,Student_253,8.7,100,96.2,A,Pass,79.83999999999999
250,Student_250,8.7,54,50.6,D,Pass,43.24
552,Student_552,8.7,80,68.3,C,Pass,59.89
352,Student_352,8.7,96,74.3,C,Pass,67.68999999999998
397,Student_397,8.7,52,69.3,C,Pass,51.99
337,Student_337,8.7,95,66.0,C,Pass,63.24
128,Student_128,8.7,53,89.7,B,Pass,62.49
892,Student_892,8.7,94,52.0,D,Pass,55.940000000000005
772,Student_772,8.6,68,59.1,D,Pass,51.67
812,Student_812,8.6,55,57.4,D,Pass,46.92
377,Student_377,8.6,98,83.8,B,Pass,73.02
220,Student_220,8.6,94,74.9,C,Pass,67.37
726,Student_726,8.6,89,47.3,D,Pass,52.06999999999999
537,Student_537,8.6,81,89.7,B,Pass,70.87
524,Student_524,8.6,85,44.8,D,Pass,49.62
13,Student_13,8.5,55,70.3,C,Pass,53.35
315,Student_315,8.5,67,68.9,C,Pass,56.25
893,Student_893,8.5,91,46.6,D,Pass,52.3
932,Student_932,8.5,93,45.3,D,Pass,52.25
717,Student_717,8.5,92,43.1,D,Pass,50.85
525,Student_525,8.5,94,83.9,B,Pass,71.85000000000001
944,Student_944,8.5,81,71.4,C,Pass,61.7
63,Student_63,8.5,92,58.3,D,Pass,58.45
166,Student_166,8.5,91,55.3,D,Pass,56.650000000000006
404,Student_404,8.4,64,60.8,C,Pass,51.28
293,Student_293,8.4,83,52.1,D,Pass,52.63
438,Student_438,8.4,90,67.5,C,Pass,62.43
907,Student_907,8.4,57,83.4,B,Pass,60.48
990,Student_990,8.4,54,84.9,B,Pass,60.330000000000005
681,Student_681,8.4,99,71.0,C,Pass,66.88000000000001
187,Student_187,8.4,77,40.7,D,Pass,45.13
127,Student_127,8.4,73,64.8,C,Pass,55.98
770,Student_770,8.4,90,95.0,A,Pass,76.18
508,Student_508,8.4,75,88.2,B,Pass,68.28
504,Student_504,8.3,65,66.4,C,Pass,54.36
121,Student_121,8.3,50,65.6,C,Pass,49.46
390,Student_390,8.3,78,94.4,A,Pass,72.25999999999999
445,Student_445,8.3,66,64.7,C,Pass,53.81
114,Student_114,8.3,79,70.6,C,Pass,60.66
738,Student_738,8.3,65,78.2,B,Pass,60.260000000000005
518,Student_518,8.3,62,49.7,D,Pass,45.11
732,Student_732,8.3,95,96.5,A,Pass,78.41
74,Student_74,8.3,74,95.4,A,Pass,71.56
271,Student_271,8.3,51,85.7,B,Pass,59.81
272,Student_272,8.3,81,49.6,D,Pass,50.760000000000005
531,Student_531,8.3,67,58.9,D,Pass,51.21
619,Student_619,8.3,89,70.3,C,Pass,63.50999999999999
708,Student_708,8.3,81,94.5,A,Pass,73.21
379,Student_379,8.3,73,49.5,D,Pass,48.31
36,Student_36,8.3,64,86.9,B,Pass,64.31
612,Student_612,8.2,74,70.3,C,Pass,58.99
231,Student_231,8.2,82,76.8,B,Pass,64.64
386,Student_386,8.2,57,43.4,D,Pass,40.44
728,Student_728,8.2,61,85.1,B,Pass,62.49
280,Student_280,8.2,80,88.0,B,Pass,69.64
277,Student_277,8.2,90,99.5,A,Pass,78.39
885,Student_885,8.2,91,91.9,A,Pass,74.89
775,Student_775,8.2,50,76.1,B,Pass,54.69
309,Student_309,8.2,71,40.2,D,Pass,43.040000000000006
924,Student_924,8.2,85,84.4,B,Pass,69.34
68,Student_68,8.2,88,60.8,C,Pass,58.44
991,Student_991,8.2,93,59.1,D,Pass,59.09
821,Student_821,8.2,86,57.3,D,Pass,56.09
117,Student_117,8.2,67,76.9,B,Pass,60.19
760,Student_760,8.1,83,81.5,B,Pass,67.27000000000001
421,Student_421,8.1,62,70.3,C,Pass,55.37
422,Student_422,8.1,66,76.5,B,Pass,59.67
572,Student_572,8.1,85,79.2,B,Pass,66.72
756,Student_756,8.1,80,60.6,C,Pass,55.92
649,Student_649,8.1,86,76.1,B,Pass,65.47
26,Student_26,8.1,59,99.5,A,Pass,69.07000000000001
200,Student_200,8.0,60,55.9,D,Pass,47.55
52,Student_52,8.0,88,99.5,A,Pass,77.75
550,Student_550,8.0,79,61.1,C,Pass,55.85
71,Student_71,8.0,53,89.3,B,Pass,62.15
451,Student_451,8.0,71,67.6,C,Pass,56.7
861,Student_861,8.0,57,83.3,B,Pass,60.35
394,Student_394,8.0,95,67.0,C,Pass,63.6
77,Student_77,7.9,82,85.9,B,Pass,69.13
95,Student_95,7.9,78,53.0,D,Pass,51.48
689,Student_689,7.9,80,74.3,C,Pass,62.73
297,Student_297,7.9,86,48.9,D,Pass,51.83
982,Student_982,7.9,82,48.6,D,Pass,50.48
432,Student_432,7.9,81,91.6,A,Pass,71.67999999999999
767,Student_767,7.9,83,87.9,B,Pass,70.42999999999999
158,Student_158,7.9,54,67.6,C,Pass,51.58
919,Student_919,7.9,88,89.7,B,Pass,72.83
535,Student_535,7.9,71,61.5,C,Pass,53.63
400,Student_400,7.8,73,94.4,A,Pass,70.66
711,Student_711,7.8,96,58.6,D,Pass,59.66
448,Student_448,7.8,81,43.7,D,Pass,47.71000000000001
108,Student_108,7.8,50,48.5,D,Pass,40.81
559,Student_559,7.8,69,44.2,D,Pass,44.36
332,Student_332,7.8,100,87.3,B,Pass,75.21000000000001
399,Student_399,7.8,93,43.8,D,Pass,51.36
93,Student_93,7.8,88,46.3,D,Pass,51.11
389,Student_389,7.8,66,54.8,D,Pass,48.760000000000005
420,Student_420,7.8,60,67.8,C,Pass,53.46
620,Student_620,7.7,61,94.2,A,Pass,66.94000000000001
628,Student_628,7.7,52,87.7,B,Pass,60.99
852,Student_852,7.7,63,77.2,B,Pass,59.04
654,Student_654,7.7,93,75.5,B,Pass,67.19000000000001
218,Student_218,7.7,99,70.3,C,Pass,66.39
266,Student_266,7.7,63,57.9,D,Pass,49.38999999999999
764,Student_764,7.7,87,58.4,D,Pass,56.84
724,Student_724,7.7,57,67.4,C,Pass,52.34
743,Student_743,7.7,75,47.2,D,Pass,47.64
463,Student_463,7.7,90,92.2,A,Pass,74.64
76,Student_76,7.6,67,76.4,B,Pass,59.82
87,Student_87,7.6,62,73.0,C,Pass,56.62
385,Student_385,7.6,76,44.1,D,Pass,46.370000000000005
985,Student_985,7.6,88,69.8,C,Pass,62.82
3,Student_3,7.6,65,80.2,B,Pass,61.120000000000005
160,Student_160,7.6,72,93.5,A,Pass,69.86999999999999
720,Student_720,7.6,99,76.2,B,Pass,69.32
973,Student_973,7.6,95,77.5,B,Pass,68.77
829,Student_829,7.6,55,72.5,C,Pass,54.27
326,Student_326,7.6,60,69.9,C,Pass,54.470000000000006
806,Student_806,7.6,52,41.9,D,Pass,38.07
960,Student_960,7.6,98,59.3,D,Pass,60.57
891,Student_891,7.5,93,97.4,A,Pass,78.1
197,Student_197,7.5,89,45.9,D,Pass,51.15
305,Student_305,7.5,53,75.6,B,Pass,55.2
779,Student_779,7.5,70,50.0,D,Pass,47.5
236,Student_236,7.5,89,93.2,A,Pass,74.8
967,Student_967,7.5,75,78.9,B,Pass,63.45
778,Student_778,7.5,74,62.5,C,Pass,54.95
510,Student_510,7.5,90,98.0,A,Pass,77.5
322,Student_322,7.4,84,80.6,B,Pass,66.98
92,Student_92,7.4,84,66.4,C,Pass,59.88
631,Student_631,7.4,59,99.7,A,Pass,69.03
215,Student_215,7.4,54,98.1,A,Pass,66.73
75,Student_75,7.4,62,69.2,C,Pass,54.68
877,Student_877,7.4,93,62.5,C,Pass,60.63
801,Student_801,7.4,63,41.7,D,Pass,41.23
439,Student_439,7.4,57,69.1,C,Pass,53.12999999999999
10,Student_10,7.4,72,73.7,C,Pass,59.93
436,Student_436,7.3,82,72.6,C,Pass,62.35999999999999
138,Student_138,7.3,62,72.1,C,Pass,56.10999999999999
482,Student_482,7.3,89,57.2,D,Pass,56.76
992,Student_992,7.3,76,40.0,D,Pass,44.26
799,Student_799,7.3,57,48.4,D,Pass,42.76
561,Student_561,7.3,99,91.3,A,Pass,76.80999999999999
258,Student_258,7.3,81,89.1,B,Pass,70.30999999999999
382,Student_382,7.3,64,85.1,B,Pass,63.21
316,Student_316,7.3,99,78.5,B,Pass,70.41
268,Student_268,7.3,78,81.3,B,Pass,65.50999999999999
501,Student_501,7.3,56,93.6,A,Pass,65.05999999999999
338,Student_338,7.3,83,45.3,D,Pass,49.01
279,Student_279,7.3,89,64.1,C,Pass,60.21
267,Student_267,7.3,62,73.9,C,Pass,57.01
505,Student_505,7.2,53,76.9,B,Pass,55.79
39,Student_39,7.2,100,58.2,D,Pass,60.54
781,Student_781,7.2,50,48.6,D,Pass,40.74
212,Student_212,7.2,97,78.6,B,Pass,69.83999999999999
987,Student_987,7.2,62,70.3,C,Pass,55.19
177,Student_177,7.2,96,70.3,C,Pass,65.39
610,Student_610,7.2,55,45.8,D,Pass,40.84
374,Student_374,7.1,64,83.7,B,Pass,62.47
419,Student_419,7.1,57,73.9,C,Pass,55.47
648,Student_648,7.1,96,86.4,B,Pass,73.42
171,Student_171,7.1,73,78.2,B,Pass,62.42
710,Student_710,7.1,54,76.5,B,Pass,55.870000000000005
971,Student_971,7.0,88,67.0,C,Pass,61.3
895,Student_895,7.0,62,66.3,C,Pass,53.15
46,Student_46,7.0,80,63.8,C,Pass,57.3
733,Student_733,7.0,53,80.1,B,Pass,57.35
548,Student_548,7.0,61,79.1,B,Pass,59.24999999999999
882,Student_882,7.0,56,70.7,C,Pass,53.55
544,Student_544,7.0,78,48.5,D,Pass,49.05
157,Student_157,7.0,54,70.3,C,Pass,52.74999999999999
208,Student_208,7.0,75,52.3,D,Pass,50.05
952,Student_952,7.0,84,64.2,C,Pass,58.7
842,Student_842,7.0,85,74.8,C,Pass,64.3
597,Student_597,7.0,51,94.6,A,Pass,63.99999999999999
684,Student_684,7.0,83,53.1,D,Pass,52.85
323,Student_323,6.9,61,88.3,B,Pass,63.830000000000005
186,Student_186,6.9,52,44.3,D,Pass,39.13
887,Student_887,6.9,69,64.5,C,Pass,54.330000000000005
213,Student_213,6.9,62,71.8,C,Pass,55.88
878,Student_878,6.9,59,57.1,D,Pass,47.63
353,Student_353,6.9,63,75.3,B,Pass,57.93
943,Student_943,6.9,56,97.3,A,Pass,66.83
221,Student_221,6.9,81,84.9,B,Pass,68.13
239,Student_239,6.8,97,89.0,B,Pass,74.96
780,Student_780,6.8,64,65.8,C,Pass,53.46
356,Student_356,6.8,60,60.1,C,Pass,49.41
219,Student_219,6.8,89,76.1,B,Pass,66.11
